Stkcd,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
603339.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300408.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002411.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300274.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002918.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002393.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601005.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300719.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603399.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603777.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002293.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002226.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600536.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600903.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000910.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600568.XSHG,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
600208.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002256.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600493.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002291.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600637.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600501.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601619.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300334.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600697.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300729.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000635.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600073.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002212.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603528.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
