ReportID,RelativeRecommendation,RelativeAnaExperience,RelativeCoNumber,RelativeNumber,IsStarAnalyst,AnalystExperience,FollowCoNumber,ForecastNumber,roe,LOSS
8558499,0.0,6.64,8.31,174.25,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8549999,0.0,-0.48,-12.44,-75.06,1.0,8.18,1.0,1.0,0.07859095090818846,0.0
8525563,0.0,-4.63,-8.1,-55.2,1.0,4.11,13.0,73.0,0.07859095090818846,0.0
8507721,0.0,0.25,5.53,21.53,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8500957,0.0,-5.56,-4.47,-58.47,0.0,3.53,18.0,47.0,0.07859095090818846,0.0
8499159,0.0,6.25,8.53,179.53,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8496931,0.0,-5.5,-8.67,-48.39,0.0,3.91,8.0,30.0,0.07859095090818846,0.0
8483883,0.0,-4.46,6.33,-14.22,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8474167,-1.0,-5.78,-12.41,-71.59,0.0,2.72,5.0,9.0,0.07859095090818846,0.0
8472749,0.0,16.35,4.33,24.83,0.0,25.81,4.0,13.0,0.07859095090818846,0.0
8470035,0.0,2.84,18.59,216.41,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8470007,0.0,1.78,-8.41,-66.59,0.0,10.29,2.0,2.0,0.07859095090818846,0.0
8469943,0.0,0.84,5.59,18.41,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8448835,0.0,-3.31,-3.0,-56.63,0.0,5.17,18.0,59.0,0.07859095090818846,0.0
8447347,-1.0,5.36,14.0,44.38,0.0,13.83,21.0,39.0,0.07859095090818846,0.0
8442739,-2.0,4.45,4.0,60.38,1.0,12.92,14.0,39.0,0.07859095090818846,0.0
8440795,-1.0,6.87,8.0,163.38,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8440399,0.0,-4.23,-8.53,-47.87,0.0,3.91,8.0,30.0,0.07859095090818846,0.0
8371401,0.0,-3.33,7.0,-16.4,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8368083,0.0,1.04,6.0,15.07,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8366851,-1.0,5.53,14.0,43.07,0.0,13.83,21.0,39.0,0.07859095090818846,0.0
8364971,0.0,3.04,17.0,211.07,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8364403,-1.0,-4.65,-14.0,-64.93,0.0,3.66,6.0,18.0,0.07859095090818846,0.0
8363407,-1.0,7.04,9.0,164.07,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8347691,0.0,2.11,-6.26,-8.32,0.0,11.51,8.0,13.0,0.07859095090818846,0.0
8345419,-1.0,1.71,1.44,-16.44,0.0,10.97,9.0,10.0,0.07859095090818846,0.0
8345265,0.0,-0.05,5.74,11.68,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8345049,0.0,-4.09,-5.56,-54.44,0.0,5.17,18.0,59.0,0.07859095090818846,0.0
8344193,0.0,2.81,-8.56,-54.44,0.0,12.07,5.0,6.0,0.07859095090818846,0.0
8344053,0.0,-3.41,5.44,-36.44,0.0,5.84,24.0,27.0,0.07859095090818846,0.0
8343709,0.0,2.09,16.44,205.56,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8342789,0.0,-4.29,3.44,-22.44,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8342293,-1.0,4.58,13.44,41.56,0.0,13.83,21.0,39.0,0.07859095090818846,0.0
8340899,-1.0,6.09,8.44,161.56,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8338805,0.0,-5.29,-10.42,-58.42,0.0,3.91,8.0,30.0,0.07859095090818846,0.0
8336315,-1.0,-5.6,-14.56,-66.44,0.0,3.66,6.0,18.0,0.07859095090818846,0.0
8249831,-1.0,3.41,7.46,7.69,0.0,13.83,21.0,39.0,0.07859095090818846,0.0
8245811,0.0,-1.07,3.46,-14.31,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8245647,-1.0,-6.76,-16.54,-82.31,0.0,3.66,6.0,18.0,0.07859095090818846,0.0
8244543,0.0,0.93,14.46,174.69,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8243963,0.0,-5.45,-0.54,-49.31,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8243387,0.0,-5.91,-10.83,-70.17,1.0,4.11,13.0,73.0,0.07859095090818846,0.0
8142299,0.0,14.97,2.45,11.64,0.0,25.81,4.0,13.0,0.07859095090818846,0.0
8134615,0.0,-5.87,-3.55,-59.36,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8133051,0.0,3.68,3.7,-27.1,0.0,13.0,20.0,28.0,0.07859095090818846,0.0
8131675,0.0,2.02,14.7,167.9,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8128851,-1.0,3.6,1.7,37.9,1.0,12.92,14.0,39.0,0.07859095090818846,0.0
8128055,0.0,0.02,3.7,-18.1,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8127387,-1.0,-5.67,-16.3,-85.1,0.0,3.66,6.0,18.0,0.07859095090818846,0.0
8096839,0.0,9.45,13.7,131.9,0.0,19.43,28.0,110.0,0.07859095090818846,0.0
8042291,0.0,-4.14,-6.33,-62.22,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8027755,-1.0,3.23,0.88,29.5,1.0,12.92,14.0,39.0,0.07859095090818846,0.0
8027643,0.0,-0.35,-0.13,-28.5,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8025875,0.0,1.65,12.88,159.5,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8025327,-1.0,-2.34,-5.13,-41.5,0.0,7.36,12.0,35.0,0.07859095090818846,0.0
8013669,0.0,0.16,12.83,154.67,0.0,7.29,27.0,152.0,0.1059648047385949,0.0
7952211,0.0,-5.53,-4.79,-42.32,0.0,5.29,18.0,49.0,0.1059648047385949,0.0
7950671,0.0,-1.95,-1.79,15.68,1.0,8.87,14.0,56.0,0.1059648047385949,0.0
7950079,0.0,-3.53,10.21,140.68,0.0,7.29,27.0,152.0,0.1059648047385949,0.0
7949619,0.0,-6.0,8.21,-5.32,0.0,4.82,25.0,80.0,0.1059648047385949,0.0
7933065,0.0,-3.29,-10.68,-42.84,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7915371,0.0,-3.37,-10.68,-43.68,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7893915,0.0,-3.44,-10.68,-44.63,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7875385,0.0,-5.73,-4.53,-42.05,0.0,5.29,18.0,49.0,0.1059648047385949,0.0
7871581,0.0,23.09,62.79,275.86,1.0,36.0,22.0,49.0,0.1059648047385949,0.0
7868821,-1.0,-1.24,4.47,-8.05,0.0,9.78,22.0,61.0,0.1059648047385949,0.0
